  01 tr1 vn   delta-id 79/79 vib-id
  01 tr2 vc   delta-id 47/48 vib-id
  02 tr1 vn   delta-id 55/55 vib-id
  02 tr2 vn   delta-id 38/41 vib-id
  03 tr1 fl   delta-id 78/78 vib-id
  03 tr2 cl   delta-id 34/34 vib-id
  04 tr1 fl   delta-id 77/77 vib-id
  04 tr2 fl   delta-id 96/96 vib-id
  05 tr1 tpt  delta-id 68/69 vib-id
  05 tr2 tpt  delta-id 88/88 vib-id
  06 tr1 sax  delta-id 71/73 vib-id
  06 tr2 sax  delta-id 45/45 vib-id
  07 tr1 tpt  delta-id 178/195 vib-id
  07 tr2 tbn  delta-id 174/206 vib-id
  08 tr1 fl   delta-id 30/30 vib-id
  08 tr2 vn   delta-id 51/51 vib-id
  10 tr1 tpt  delta-id 86/87 vib-id
  10 tr2 sax  delta-id 79/87 vib-id
  11 tr1 ob   delta-id 53/66 vib-id
  11 tr2 vc   delta-id 125/125 vib-id
  12 tr1 vn   delta-id 138/138 vib-id
  12 tr2 vn   delta-id 140/140 vib-id
  12 tr3 vc   delta-id 128/130 vib-id
  13 tr1 vn   delta-id 65/66 vib-id
  13 tr2 vn   delta-id 56/56 vib-id
  13 tr3 va   delta-id 54/55 vib-id
  17 tr1 vn   delta-id 116/116 vib-id
  17 tr2 fl   delta-id 94/96 vib-id
  17 tr3 cl   delta-id 34/41 vib-id
  18 tr3 tpt  delta-id 45/50 vib-id
  19 tr1 cl   delta-id 86/102 vib-id
  19 tr2 vn   delta-id 94/94 vib-id
  19 tr3 vc   delta-id 136/139 vib-id
  20 tr1 tpt  delta-id 118/127 vib-id
  21 tr1 cl   delta-id 78/80 vib-id
  21 tr2 tbn  delta-id 70/70 vib-id
  21 tr3 tba  delta-id 96/97 vib-id
  22 tr1 sax  delta-id 38/39 vib-id
  23 tr2 sax  delta-id 68/71 vib-id
  26 tr1 vn   delta-id 91/92 vib-id
  26 tr2 vn   delta-id 68/68 vib-id
  26 tr3 va   delta-id 73/73 vib-id
  26 tr4 vc   delta-id 90/92 vib-id
  27 tr4 sax  delta-id 16/16 vib-id
  31 tr1 tpt  delta-id 75/75 vib-id
  31 tr2 tpt  delta-id 96/96 vib-id
  31 tr3 hn   delta-id 63/63 vib-id
  31 tr4 tbn  delta-id 68/68 vib-id
  35 tr1 vn   delta-id 136/136 vib-id
  35 tr2 vn   delta-id 145/155 vib-id
  35 tr3 va   delta-id 137/139 vib-id
  35 tr4 db   delta-id 105/124 vib-id
  36 tr4 vc   delta-id 133/144 vib-id
  37 tr1 fl   delta-id 96/96 vib-id
  37 tr4 cl   delta-id 41/82 vib-id
  38 tr1 vn   delta-id 131/134 vib-id
  38 tr2 vn   delta-id 137/139 vib-id
  38 tr3 va   delta-id 140/142 vib-id
  38 tr4 vc   delta-id 110/111 vib-id
  38 tr5 db   delta-id 91/100 vib-id
  39 tr4 sax  delta-id 67/96 vib-id
  39 tr5 db   delta-id 90/99 vib-id
  40 tr1 fl   delta-id 23/24 vib-id
  40 tr2 fl   delta-id 29/29 vib-id
  40 tr3 ob   delta-id 8/15 vib-id
  40 tr4 cl   delta-id 14/22 vib-id
  40 tr5 bn   delta-id 19/22 vib-id
  41 tr4 sax  delta-id 22/30 vib-id
  42 tr1 tpt  delta-id 218/233 vib-id
  42 tr2 tpt  delta-id 141/147 vib-id
  42 tr3 hn   delta-id 117/131 vib-id
  42 tr4 tbn  delta-id 143/156 vib-id
  42 tr5 tba  delta-id 104/140 vib-id
  44 tr1 vn   delta-id 194/194 vib-id
  44 tr2 vn   delta-id 200/200 vib-id
  44 tr3 va   delta-id 176/177 vib-id
  44 tr4 va   delta-id 181/187 vib-id
  44 tr5 vc   delta-id 182/185 vib-id
wrote .cache/delta_vib_gt.pkl

